Ubicación,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
CTA GARAGE / OTHER PROPERTY,11,2013.2727272727273,2012,2016,1.6181818181818417,1.272077756342686,2013,0.90266380507523,11,5.818181818181818,2,11,9.363636363636363,3.060005941764879,Abril,-1.4022433782637402,11,14.909090909090908,1,27,56.29090909090909,7.5027267770397374,13,0.08302890618218672,11,14.363636363636363,6,20,23.054545454545455,4.801514912456844,19,-1.0767907432654331,11,
CTA PLATFORM,34,2013.0882352941176,2012,2016,1.7798573975044596,1.334112962797551,2012,-0.06973005342867156,34,6.617647058823529,1,12,12.12210338680927,3.481681115037572,Junio,-1.099093723159101,34,15.411764705882353,1,29,71.58288770053478,8.460667095479812,10,-1.239921036242091,34,14.382352941176471,0,22,29.637254901960784,5.44401092044834,11,0.1732219878958685,34,
CTA STATION,13,2015.2307692307693,2014,2016,0.5256410256410257,0.7250110520819842,2015,-0.7550700340704708,13,7.3076923076923075,1,12,10.230769230769234,3.1985573671218144,Julio,-0.39743137748677926,13,16.53846153846154,2,28,87.1025641025641,9.33287544664366,No hay moda,-1.6135310618961496,13,14.384615384615385,4,23,36.0897435897436,6.007473977450389,4,-0.44297111704930137,13,
CTA TRACKS - RIGHT OF WAY,1,2015.0,2015,2015,,,No hay moda,,1,1.0,1,1,,,,,1,21.0,21,21,,,No hay moda,,1,5.0,5,5,,,No hay moda,,1,
CTA TRAIN,28,2014.107142857143,2012,2016,2.3955026455027775,1.5477411429249974,2014,-1.3843218380700306,28,7.035714285714286,1,12,12.924603174603176,3.5950804128145974,Octubre,-1.3895801006314241,28,14.321428571428571,2,29,90.74470899470901,9.526001731823746,8,-1.5828981327709486,28,11.285714285714286,0,23,55.24867724867723,7.432945395243882,4,-1.4605915614680753,28,
CURRENCY EXCHANGE,14,2014.142857142857,2012,2016,1.670329670329725,1.2924123453177492,2013,-1.0040134726768821,14,7.0,1,12,13.076923076923077,3.616202853397895,Marzo,-1.3061340044039005,14,17.0,4,28,40.61538461538461,6.373020054525532,15,0.3627559166040575,14,11.5,0,18,27.807692307692303,5.273299944787164,11,1.3525426611633806,14,
DAY CARE CENTER,4,2013.75,2012,2016,4.250000000000019,2.0615528128088347,2012,-4.858131487889274,4,7.75,2,11,16.25,4.031128874149275,,2.0307692307692307,4,14.5,6,26,102.33333333333333,10.115993936995679,6,-4.318390646054601,4,11.0,7,16,15.333333333333334,3.9157800414902435,No hay moda,-0.7684310018903595,4,
DELIVERY TRUCK,2,2012.0,2012,2012,0.0,0.0,2012,,2,6.0,1,11,50.0,7.0710678118654755,,,2,22.5,21,24,4.5,2.1213203435596424,No hay moda,,2,11.0,8,14,18.0,4.242640687119285,No hay moda,,2,
DEPARTMENT STORE,92,2013.8260869565217,2012,2016,1.96942188246537,1.4033609238059075,2013,-1.3025500066633258,92,6.478260869565218,1,12,12.62589584328715,3.553293661279229,Marzo,-1.2607719215203455,92,15.804347826086957,1,30,63.2580028666985,7.953489980297863,19,-1.017269430209148,92,14.826086956521738,0,23,15.354037267080752,3.918422803511733,15,2.5484613595013808,92,
DRIVEWAY - RESIDENTIAL,19,2014.2631578947369,2012,2016,1.4269005847953506,1.194529440740307,2014,-0.7627411788418805,19,8.31578947368421,4,12,5.116959064327485,2.2620696417943202,Agosto,-0.5331422809123643,19,15.0,2,30,67.22222222222223,8.19891591749923,11,-0.5532372828921202,19,14.368421052631579,0,23,66.13450292397661,8.132312274130687,22,-1.0934020310413866,19,
